id,title,difficulty,category,concept,domain,role,context,problem_statement,tags
JAV-00227,Sliding window assessment for Cloud Modernization cloud migration,Medium,JAVA_ALGORITHMS,Sliding window,Cloud Modernization,Automation Architect,cloud migration,"Design, code or whiteboard a medium solution involving Sliding window for Cloud Modernization cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sliding-window,cloud-modernization,automation-architect"
JAV-00228,Two pointers assessment for Data Engineering CI/CD quality gate adoption,Hard,JAVA_ALGORITHMS,Two pointers,Data Engineering,Test Manager,CI/CD quality gate adoption,"Design, code or whiteboard a hard solution involving Two pointers for Data Engineering CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,data-engineering,test-manager"
JAV-00229,Two pointers assessment for Life Sciences cloud migration,Hard,JAVA_ALGORITHMS,Two pointers,Life Sciences,SDET,cloud migration,"Design, code or whiteboard a hard solution involving Two pointers for Life Sciences cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,life-sciences,sdet"
JAV-00230,Two pointers assessment for Retail regulatory reporting modernization,Medium,JAVA_ALGORITHMS,Two pointers,Retail,Data QA Engineer,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving Two pointers for Retail regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,retail,data-qa-engineer"
JAV-00231,Two pointers assessment for Banking enterprise modernization,Medium,JAVA_ALGORITHMS,Two pointers,Banking,Data QA Engineer,enterprise modernization,"Design, code or whiteboard a medium solution involving Two pointers for Banking enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,banking,data-qa-engineer"
JAV-00232,Sorting assessment for SaaS regulatory reporting modernization,Medium,JAVA_ALGORITHMS,Sorting,SaaS,Test Manager,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving Sorting for SaaS regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sorting,saas,test-manager"
JAV-00233,Sorting assessment for Banking CI/CD quality gate adoption,Hard,JAVA_ALGORITHMS,Sorting,Banking,Automation Architect,CI/CD quality gate adoption,"Design, code or whiteboard a hard solution involving Sorting for Banking CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sorting,banking,automation-architect"
JAV-00234,Two pointers assessment for Data Engineering CI/CD quality gate adoption,Expert,JAVA_ALGORITHMS,Two pointers,Data Engineering,QE Architect,CI/CD quality gate adoption,"Design, code or whiteboard a expert solution involving Two pointers for Data Engineering CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,data-engineering,qe-architect"
JAV-00235,Two pointers assessment for Retail cloud migration,Easy,JAVA_ALGORITHMS,Two pointers,Retail,Lead Quality Engineer,cloud migration,"Design, code or whiteboard a easy solution involving Two pointers for Retail cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,retail,lead-quality-engineer"
JAV-00236,Sorting assessment for Data Engineering test automation modernization,Easy,JAVA_ALGORITHMS,Sorting,Data Engineering,SDET,test automation modernization,"Design, code or whiteboard a easy solution involving Sorting for Data Engineering test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sorting,data-engineering,sdet"
JAV-00237,Two pointers assessment for Retail data platform migration,Medium,JAVA_ALGORITHMS,Two pointers,Retail,Data QA Engineer,data platform migration,"Design, code or whiteboard a medium solution involving Two pointers for Retail data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,retail,data-qa-engineer"
JAV-00238,Dynamic programming assessment for SaaS test automation modernization,Medium,JAVA_ALGORITHMS,Dynamic programming,SaaS,Automation Architect,test automation modernization,"Design, code or whiteboard a medium solution involving Dynamic programming for SaaS test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,dynamic-programming,saas,automation-architect"
JAV-00239,Dynamic programming assessment for SaaS enterprise modernization,Medium,JAVA_ALGORITHMS,Dynamic programming,SaaS,QA Practice Lead,enterprise modernization,"Design, code or whiteboard a medium solution involving Dynamic programming for SaaS enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,dynamic-programming,saas,qa-practice-lead"
JAV-00240,Searching assessment for SaaS CI/CD quality gate adoption,Hard,JAVA_ALGORITHMS,Searching,SaaS,Lead Quality Engineer,CI/CD quality gate adoption,"Design, code or whiteboard a hard solution involving Searching for SaaS CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,searching,saas,lead-quality-engineer"
JAV-00241,Two pointers assessment for Cloud Modernization enterprise modernization,Expert,JAVA_ALGORITHMS,Two pointers,Cloud Modernization,QA Practice Lead,enterprise modernization,"Design, code or whiteboard a expert solution involving Two pointers for Cloud Modernization enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,cloud-modernization,qa-practice-lead"
JAV-00242,Sliding window assessment for Supply Chain cloud migration,Expert,JAVA_ALGORITHMS,Sliding window,Supply Chain,SDET,cloud migration,"Design, code or whiteboard a expert solution involving Sliding window for Supply Chain cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sliding-window,supply-chain,sdet"
JAV-00243,Recursion assessment for Insurance observability and production readiness,Easy,JAVA_ALGORITHMS,Recursion,Insurance,QA Practice Lead,observability and production readiness,"Design, code or whiteboard a easy solution involving Recursion for Insurance observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,recursion,insurance,qa-practice-lead"
JAV-00244,Dynamic programming assessment for Insurance test automation modernization,Medium,JAVA_ALGORITHMS,Dynamic programming,Insurance,Lead Quality Engineer,test automation modernization,"Design, code or whiteboard a medium solution involving Dynamic programming for Insurance test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,dynamic-programming,insurance,lead-quality-engineer"
JAV-00245,Sorting assessment for Cloud Modernization observability and production readiness,Hard,JAVA_ALGORITHMS,Sorting,Cloud Modernization,SDET,observability and production readiness,"Design, code or whiteboard a hard solution involving Sorting for Cloud Modernization observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sorting,cloud-modernization,sdet"
JAV-00246,Sorting assessment for SaaS enterprise modernization,Hard,JAVA_ALGORITHMS,Sorting,SaaS,QE Architect,enterprise modernization,"Design, code or whiteboard a hard solution involving Sorting for SaaS enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sorting,saas,qe-architect"
JAV-00247,Recursion assessment for Data Engineering CI/CD quality gate adoption,Medium,JAVA_ALGORITHMS,Recursion,Data Engineering,Test Manager,CI/CD quality gate adoption,"Design, code or whiteboard a medium solution involving Recursion for Data Engineering CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,recursion,data-engineering,test-manager"
JAV-00248,Sliding window assessment for Life Sciences CI/CD quality gate adoption,Easy,JAVA_ALGORITHMS,Sliding window,Life Sciences,Lead Quality Engineer,CI/CD quality gate adoption,"Design, code or whiteboard a easy solution involving Sliding window for Life Sciences CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sliding-window,life-sciences,lead-quality-engineer"
JAV-00249,Two pointers assessment for Retail cloud migration,Medium,JAVA_ALGORITHMS,Two pointers,Retail,SDET,cloud migration,"Design, code or whiteboard a medium solution involving Two pointers for Retail cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,retail,sdet"
JAV-00250,Searching assessment for Supply Chain API-first transformation,Hard,JAVA_ALGORITHMS,Searching,Supply Chain,Data QA Engineer,API-first transformation,"Design, code or whiteboard a hard solution involving Searching for Supply Chain API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,searching,supply-chain,data-qa-engineer"
JAV-00251,Searching assessment for Healthcare Payer test automation modernization,Medium,JAVA_ALGORITHMS,Searching,Healthcare Payer,Automation Architect,test automation modernization,"Design, code or whiteboard a medium solution involving Searching for Healthcare Payer test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,searching,healthcare-payer,automation-architect"
JAV-00252,Dynamic programming assessment for Data Engineering test automation modernization,Hard,JAVA_ALGORITHMS,Dynamic programming,Data Engineering,Test Manager,test automation modernization,"Design, code or whiteboard a hard solution involving Dynamic programming for Data Engineering test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,dynamic-programming,data-engineering,test-manager"
JAV-00253,Two pointers assessment for SaaS regulatory reporting modernization,Medium,JAVA_ALGORITHMS,Two pointers,SaaS,Data QA Engineer,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving Two pointers for SaaS regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,saas,data-qa-engineer"
JAV-00254,Recursion assessment for Life Sciences API-first transformation,Hard,JAVA_ALGORITHMS,Recursion,Life Sciences,SDET,API-first transformation,"Design, code or whiteboard a hard solution involving Recursion for Life Sciences API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,recursion,life-sciences,sdet"
JAV-00255,Recursion assessment for SaaS CI/CD quality gate adoption,Medium,JAVA_ALGORITHMS,Recursion,SaaS,Lead Quality Engineer,CI/CD quality gate adoption,"Design, code or whiteboard a medium solution involving Recursion for SaaS CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,recursion,saas,lead-quality-engineer"
JAV-00256,Recursion assessment for Insurance data platform migration,Easy,JAVA_ALGORITHMS,Recursion,Insurance,SDET,data platform migration,"Design, code or whiteboard a easy solution involving Recursion for Insurance data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,recursion,insurance,sdet"
JAV-00257,Searching assessment for Data Engineering enterprise modernization,Medium,JAVA_ALGORITHMS,Searching,Data Engineering,Data QA Engineer,enterprise modernization,"Design, code or whiteboard a medium solution involving Searching for Data Engineering enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,searching,data-engineering,data-qa-engineer"
JAV-00258,Sorting assessment for Insurance regulatory reporting modernization,Medium,JAVA_ALGORITHMS,Sorting,Insurance,SDET,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving Sorting for Insurance regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sorting,insurance,sdet"
JAV-00259,Recursion assessment for Life Sciences enterprise modernization,Medium,JAVA_ALGORITHMS,Recursion,Life Sciences,Automation Architect,enterprise modernization,"Design, code or whiteboard a medium solution involving Recursion for Life Sciences enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,recursion,life-sciences,automation-architect"
JAV-00260,Sliding window assessment for Supply Chain cloud migration,Medium,JAVA_ALGORITHMS,Sliding window,Supply Chain,QA Practice Lead,cloud migration,"Design, code or whiteboard a medium solution involving Sliding window for Supply Chain cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sliding-window,supply-chain,qa-practice-lead"
JAV-00261,Dynamic programming assessment for Supply Chain test automation modernization,Hard,JAVA_ALGORITHMS,Dynamic programming,Supply Chain,QE Architect,test automation modernization,"Design, code or whiteboard a hard solution involving Dynamic programming for Supply Chain test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,dynamic-programming,supply-chain,qe-architect"
JAV-00262,Sorting assessment for SaaS test automation modernization,Medium,JAVA_ALGORITHMS,Sorting,SaaS,Automation Architect,test automation modernization,"Design, code or whiteboard a medium solution involving Sorting for SaaS test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sorting,saas,automation-architect"
JAV-00263,Sliding window assessment for Life Sciences data platform migration,Easy,JAVA_ALGORITHMS,Sliding window,Life Sciences,Test Manager,data platform migration,"Design, code or whiteboard a easy solution involving Sliding window for Life Sciences data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sliding-window,life-sciences,test-manager"
JAV-00264,Recursion assessment for Healthcare Payer regulatory reporting modernization,Expert,JAVA_ALGORITHMS,Recursion,Healthcare Payer,Data QA Engineer,regulatory reporting modernization,"Design, code or whiteboard a expert solution involving Recursion for Healthcare Payer regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,recursion,healthcare-payer,data-qa-engineer"
JAV-00265,Dynamic programming assessment for Data Engineering regulatory reporting modernization,Easy,JAVA_ALGORITHMS,Dynamic programming,Data Engineering,QA Practice Lead,regulatory reporting modernization,"Design, code or whiteboard a easy solution involving Dynamic programming for Data Engineering regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,dynamic-programming,data-engineering,qa-practice-lead"
JAV-00266,Sorting assessment for Healthcare Payer cloud migration,Easy,JAVA_ALGORITHMS,Sorting,Healthcare Payer,Automation Architect,cloud migration,"Design, code or whiteboard a easy solution involving Sorting for Healthcare Payer cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sorting,healthcare-payer,automation-architect"
JAV-00267,Sorting assessment for Retail regulatory reporting modernization,Easy,JAVA_ALGORITHMS,Sorting,Retail,QA Practice Lead,regulatory reporting modernization,"Design, code or whiteboard a easy solution involving Sorting for Retail regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sorting,retail,qa-practice-lead"
JAV-00268,Two pointers assessment for Retail enterprise modernization,Medium,JAVA_ALGORITHMS,Two pointers,Retail,QE Architect,enterprise modernization,"Design, code or whiteboard a medium solution involving Two pointers for Retail enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,retail,qe-architect"
JAV-00269,Sorting assessment for Healthcare Payer regulatory reporting modernization,Medium,JAVA_ALGORITHMS,Sorting,Healthcare Payer,Lead Quality Engineer,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving Sorting for Healthcare Payer regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,sorting,healthcare-payer,lead-quality-engineer"
JAV-00270,Two pointers assessment for Insurance API-first transformation,Expert,JAVA_ALGORITHMS,Two pointers,Insurance,Lead Quality Engineer,API-first transformation,"Design, code or whiteboard a expert solution involving Two pointers for Insurance API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","java-algorithms,two-pointers,insurance,lead-quality-engineer"
SQL-00271,Duplicate detection assessment for SaaS regulatory reporting modernization,Hard,SQL_DATA_VALIDATION,Duplicate detection,SaaS,Automation Architect,regulatory reporting modernization,"Design, code or whiteboard a hard solution involving Duplicate detection for SaaS regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,duplicate-detection,saas,automation-architect"
SQL-00272,Group By assessment for Cloud Modernization data platform migration,Medium,SQL_DATA_VALIDATION,Group By,Cloud Modernization,Automation Architect,data platform migration,"Design, code or whiteboard a medium solution involving Group By for Cloud Modernization data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,group-by,cloud-modernization,automation-architect"
SQL-00273,Duplicate detection assessment for Life Sciences observability and production readiness,Medium,SQL_DATA_VALIDATION,Duplicate detection,Life Sciences,SDET,observability and production readiness,"Design, code or whiteboard a medium solution involving Duplicate detection for Life Sciences observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,duplicate-detection,life-sciences,sdet"
SQL-00274,Joins assessment for Healthcare Payer API-first transformation,Hard,SQL_DATA_VALIDATION,Joins,Healthcare Payer,QE Architect,API-first transformation,"Design, code or whiteboard a hard solution involving Joins for Healthcare Payer API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,joins,healthcare-payer,qe-architect"
SQL-00275,Group By assessment for Banking observability and production readiness,Easy,SQL_DATA_VALIDATION,Group By,Banking,Test Manager,observability and production readiness,"Design, code or whiteboard a easy solution involving Group By for Banking observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,group-by,banking,test-manager"
SQL-00276,Window functions assessment for Data Engineering cloud migration,Medium,SQL_DATA_VALIDATION,Window functions,Data Engineering,Test Manager,cloud migration,"Design, code or whiteboard a medium solution involving Window functions for Data Engineering cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,window-functions,data-engineering,test-manager"
SQL-00277,Window functions assessment for SaaS API-first transformation,Easy,SQL_DATA_VALIDATION,Window functions,SaaS,Automation Architect,API-first transformation,"Design, code or whiteboard a easy solution involving Window functions for SaaS API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,window-functions,saas,automation-architect"
SQL-00278,Joins assessment for Life Sciences enterprise modernization,Hard,SQL_DATA_VALIDATION,Joins,Life Sciences,Lead Quality Engineer,enterprise modernization,"Design, code or whiteboard a hard solution involving Joins for Life Sciences enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,joins,life-sciences,lead-quality-engineer"
SQL-00279,Source-to-target assessment for Retail observability and production readiness,Expert,SQL_DATA_VALIDATION,Source-to-target,Retail,QA Practice Lead,observability and production readiness,"Design, code or whiteboard a expert solution involving Source-to-target for Retail observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,source-to-target,retail,qa-practice-lead"
SQL-00280,Window functions assessment for Life Sciences data platform migration,Medium,SQL_DATA_VALIDATION,Window functions,Life Sciences,QE Architect,data platform migration,"Design, code or whiteboard a medium solution involving Window functions for Life Sciences data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,window-functions,life-sciences,qe-architect"
SQL-00281,Source-to-target assessment for Insurance data platform migration,Hard,SQL_DATA_VALIDATION,Source-to-target,Insurance,QE Architect,data platform migration,"Design, code or whiteboard a hard solution involving Source-to-target for Insurance data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,source-to-target,insurance,qe-architect"
SQL-00282,Duplicate detection assessment for Cloud Modernization observability and production readiness,Medium,SQL_DATA_VALIDATION,Duplicate detection,Cloud Modernization,Lead Quality Engineer,observability and production readiness,"Design, code or whiteboard a medium solution involving Duplicate detection for Cloud Modernization observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,duplicate-detection,cloud-modernization,lead-quality-engineer"
SQL-00283,Window functions assessment for Data Engineering regulatory reporting modernization,Medium,SQL_DATA_VALIDATION,Window functions,Data Engineering,Automation Architect,regulatory reporting modernization,"Design, code or whiteboard a medium solution involving Window functions for Data Engineering regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,window-functions,data-engineering,automation-architect"
SQL-00284,Joins assessment for Data Engineering test automation modernization,Easy,SQL_DATA_VALIDATION,Joins,Data Engineering,Automation Architect,test automation modernization,"Design, code or whiteboard a easy solution involving Joins for Data Engineering test automation modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,joins,data-engineering,automation-architect"
SQL-00285,Window functions assessment for Supply Chain cloud migration,Medium,SQL_DATA_VALIDATION,Window functions,Supply Chain,Lead Quality Engineer,cloud migration,"Design, code or whiteboard a medium solution involving Window functions for Supply Chain cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,window-functions,supply-chain,lead-quality-engineer"
SQL-00286,Duplicate detection assessment for Cloud Modernization enterprise modernization,Easy,SQL_DATA_VALIDATION,Duplicate detection,Cloud Modernization,Lead Quality Engineer,enterprise modernization,"Design, code or whiteboard a easy solution involving Duplicate detection for Cloud Modernization enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,duplicate-detection,cloud-modernization,lead-quality-engineer"
SQL-00287,Joins assessment for SaaS observability and production readiness,Medium,SQL_DATA_VALIDATION,Joins,SaaS,Test Manager,observability and production readiness,"Design, code or whiteboard a medium solution involving Joins for SaaS observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,joins,saas,test-manager"
SQL-00288,Window functions assessment for SaaS cloud migration,Medium,SQL_DATA_VALIDATION,Window functions,SaaS,Lead Quality Engineer,cloud migration,"Design, code or whiteboard a medium solution involving Window functions for SaaS cloud migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,window-functions,saas,lead-quality-engineer"
SQL-00289,Source-to-target assessment for Insurance observability and production readiness,Easy,SQL_DATA_VALIDATION,Source-to-target,Insurance,Test Manager,observability and production readiness,"Design, code or whiteboard a easy solution involving Source-to-target for Insurance observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,source-to-target,insurance,test-manager"
SQL-00290,Duplicate detection assessment for Banking CI/CD quality gate adoption,Expert,SQL_DATA_VALIDATION,Duplicate detection,Banking,Lead Quality Engineer,CI/CD quality gate adoption,"Design, code or whiteboard a expert solution involving Duplicate detection for Banking CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,duplicate-detection,banking,lead-quality-engineer"
SQL-00291,Joins assessment for Healthcare Payer data platform migration,Easy,SQL_DATA_VALIDATION,Joins,Healthcare Payer,QE Architect,data platform migration,"Design, code or whiteboard a easy solution involving Joins for Healthcare Payer data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,joins,healthcare-payer,qe-architect"
SQL-00292,Group By assessment for Banking regulatory reporting modernization,Easy,SQL_DATA_VALIDATION,Group By,Banking,Test Manager,regulatory reporting modernization,"Design, code or whiteboard a easy solution involving Group By for Banking regulatory reporting modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,group-by,banking,test-manager"
SQL-00293,Source-to-target assessment for Retail CI/CD quality gate adoption,Easy,SQL_DATA_VALIDATION,Source-to-target,Retail,Data QA Engineer,CI/CD quality gate adoption,"Design, code or whiteboard a easy solution involving Source-to-target for Retail CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,source-to-target,retail,data-qa-engineer"
SQL-00294,Reconciliation assessment for Retail API-first transformation,Hard,SQL_DATA_VALIDATION,Reconciliation,Retail,QA Practice Lead,API-first transformation,"Design, code or whiteboard a hard solution involving Reconciliation for Retail API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,reconciliation,retail,qa-practice-lead"
SQL-00295,Group By assessment for Data Engineering observability and production readiness,Hard,SQL_DATA_VALIDATION,Group By,Data Engineering,Lead Quality Engineer,observability and production readiness,"Design, code or whiteboard a hard solution involving Group By for Data Engineering observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,group-by,data-engineering,lead-quality-engineer"
SQL-00296,Joins assessment for Data Engineering CI/CD quality gate adoption,Easy,SQL_DATA_VALIDATION,Joins,Data Engineering,Automation Architect,CI/CD quality gate adoption,"Design, code or whiteboard a easy solution involving Joins for Data Engineering CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,joins,data-engineering,automation-architect"
SQL-00297,Reconciliation assessment for Insurance API-first transformation,Easy,SQL_DATA_VALIDATION,Reconciliation,Insurance,QA Practice Lead,API-first transformation,"Design, code or whiteboard a easy solution involving Reconciliation for Insurance API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,reconciliation,insurance,qa-practice-lead"
SQL-00298,Joins assessment for SaaS data platform migration,Easy,SQL_DATA_VALIDATION,Joins,SaaS,QE Architect,data platform migration,"Design, code or whiteboard a easy solution involving Joins for SaaS data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,joins,saas,qe-architect"
SQL-00299,Source-to-target assessment for Healthcare Payer API-first transformation,Hard,SQL_DATA_VALIDATION,Source-to-target,Healthcare Payer,Data QA Engineer,API-first transformation,"Design, code or whiteboard a hard solution involving Source-to-target for Healthcare Payer API-first transformation. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,source-to-target,healthcare-payer,data-qa-engineer"
SQL-00300,Joins assessment for Cloud Modernization enterprise modernization,Medium,SQL_DATA_VALIDATION,Joins,Cloud Modernization,Automation Architect,enterprise modernization,"Design, code or whiteboard a medium solution involving Joins for Cloud Modernization enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,joins,cloud-modernization,automation-architect"
SQL-00301,Window functions assessment for SaaS enterprise modernization,Hard,SQL_DATA_VALIDATION,Window functions,SaaS,QE Architect,enterprise modernization,"Design, code or whiteboard a hard solution involving Window functions for SaaS enterprise modernization. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,window-functions,saas,qe-architect"
SQL-00302,Window functions assessment for Insurance observability and production readiness,Medium,SQL_DATA_VALIDATION,Window functions,Insurance,QE Architect,observability and production readiness,"Design, code or whiteboard a medium solution involving Window functions for Insurance observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,window-functions,insurance,qe-architect"
SQL-00303,Reconciliation assessment for Healthcare Payer data platform migration,Hard,SQL_DATA_VALIDATION,Reconciliation,Healthcare Payer,Lead Quality Engineer,data platform migration,"Design, code or whiteboard a hard solution involving Reconciliation for Healthcare Payer data platform migration. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,reconciliation,healthcare-payer,lead-quality-engineer"
SQL-00304,Source-to-target assessment for Healthcare Payer CI/CD quality gate adoption,Medium,SQL_DATA_VALIDATION,Source-to-target,Healthcare Payer,Lead Quality Engineer,CI/CD quality gate adoption,"Design, code or whiteboard a medium solution involving Source-to-target for Healthcare Payer CI/CD quality gate adoption. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,source-to-target,healthcare-payer,lead-quality-engineer"
SQL-00305,Window functions assessment for Life Sciences observability and production readiness,Hard,SQL_DATA_VALIDATION,Window functions,Life Sciences,Test Manager,observability and production readiness,"Design, code or whiteboard a hard solution involving Window functions for Life Sciences observability and production readiness. Include assumptions, edge cases, test strategy, evidence, complexity, and production-readiness considerations.","sql-data-validation,window-functions,life-sciences,test-manager"
